STUDENT_ID,SCHOOL_ID,SECTION_ID
120071,Upper,096002-10
120108,Upper,096002-10
120122,Upper,096002-10
120070,Upper,096002-10
100177,Upper,096002-10
100241,Upper,096002-10
100240,Upper,096002-10
100183,Upper,096002-10
120096,Upper,096002-10
100181,Upper,096002-10
100202,Upper,096002-10
100196,Upper,096002-10
100272,Upper,096002-20
120107,Upper,096002-20
100971,Upper,096002-20
100970,Upper,096002-20
120112,Upper,096002-20
100193,Upper,096002-20
120143,Upper,096002-20
100199,Upper,096002-20
100168,Upper,096002-20
120119,Upper,096002-20
100919,Upper,096002-20
100932,Upper,096002-20
100286,Upper,096002-20
100799,Upper,096002-20
120145,Upper,096002-20
100203,Upper,096002-20
120055,Upper,096411-10
100432,Upper,096411-10
100239,Upper,096411-10
120057,Upper,096411-10
100157,Upper,096411-10
100188,Upper,096411-10
100307,Upper,096411-10
100165,Upper,096411-10
100214,Upper,096411-10
100189,Upper,096411-10
100649,Upper,096411-10
100133,Upper,096411-10
100194,Upper,096411-10
100195,Upper,096411-10
100170,Upper,096411-10
100151,Upper,096411-10
120128,Upper,096411-10
100642,Upper,096413-10
100210,Upper,096413-10
100305,Upper,096413-10
120097,Upper,096413-10
100187,Upper,096413-10
120110,Upper,096413-10
120111,Upper,096413-10
100163,Upper,096413-10
100179,Upper,096413-10
120065,Upper,096413-10
120051,Upper,096413-10
100294,Upper,096413-10
100302,Upper,096413-10
100662,Upper,096413-10
120126,Upper,096413-10
120103,Upper,096413-10
120134,Upper,096413-10
100431,Upper,096413-20
120045,Upper,096413-20
120095,Upper,096413-20
100306,Upper,096413-20
120039,Upper,096413-20
100300,Upper,096413-20
100209,Upper,096413-20
120164,Upper,096413-20
100204,Upper,096413-20
100201,Upper,096413-20
100238,Upper,096413-20
100174,Upper,096413-20
100295,Upper,096413-20
120036,Upper,096413-20
120138,Upper,096414-10
120165,Upper,096414-10
120123,Upper,096414-10
100282,Upper,097001-10
100185,Upper,097001-10
100154,Upper,097001-10
100309,Upper,097001-10
100310,Upper,097001-10
100205,Upper,097001-10
100191,Upper,097001-10
100284,Upper,097001-10
100158,Upper,097001-10
100298,Upper,097001-10
100159,Upper,097001-10
100160,Upper,097001-10
100178,Upper,097001-10
100206,Upper,097001-10
100180,Upper,097001-10
120154,Upper,097001-10
120130,Upper,097001-10
100153,Upper,097001-10
100297,Upper,097002-10
100172,Upper,097002-10
120101,Upper,097002-10
100155,Upper,097002-10
120071,Upper,097002-10
120108,Upper,097002-10
120122,Upper,097002-10
120070,Upper,097002-10
100177,Upper,097002-10
100241,Upper,097002-10
100240,Upper,097002-10
100183,Upper,097002-10
120096,Upper,097002-10
100181,Upper,097002-10
100202,Upper,097002-10
